tconst,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0034583,Casablanca,0,1942,102,"Drama,Romance,War",8.5,594323
tt0035446,To Be or Not to Be,0,1942,99,"Comedy,Romance,War",8.2,41280
tt0036775,Double Indemnity,0,1944,107,"Crime,Drama,Film-Noir",8.3,163991
tt0036868,The Best Years of Our Lives,0,1946,170,"Drama,Romance,War",8.1,68708
tt0037558,Brief Encounter,0,1945,86,"Drama,Romance",8.0,42952
tt0038650,It's a Wonderful Life,0,1946,130,"Drama,Family,Fantasy",8.6,481304
tt0038890,"Rome, Open City",0,1945,103,"Drama,Thriller,War",8.0,28256
tt0039689,Out of the Past,0,1947,97,"Crime,Drama,Film-Noir",8.0,39858
tt0040522,Bicycle Thieves,0,1948,89,Drama,8.3,171208
tt0040725,The Red Shoes,0,1948,135,"Drama,Music,Romance",8.1,37848
tt0040897,The Treasure of the Sierra Madre,0,1948,126,"Adventure,Drama,Western",8.2,130214
tt0041546,Kind Hearts and Coronets,0,1949,106,"Comedy,Crime",8.0,39062
tt0041959,The Third Man,0,1949,104,"Film-Noir,Mystery,Thriller",8.1,178427
tt0042041,White Heat,0,1949,114,"Action,Crime,Drama",8.1,34963
tt0042192,All About Eve,0,1950,138,Drama,8.2,136308
tt0042876,Rashomon,0,1950,88,"Crime,Drama,Mystery",8.2,176446
tt0043014,Sunset Blvd.,0,1950,110,"Drama,Film-Noir",8.4,231513
tt0043338,Ace in the Hole,0,1951,111,"Drama,Film-Noir",8.1,38312
tt0044706,High Noon,0,1952,85,"Drama,Thriller,Western",8.0,108458
tt0044741,Ikiru,0,1952,143,Drama,8.3,84610
tt0045152,Singin' in the Rain,0,1952,103,"Comedy,Musical,Romance",8.3,254492
tt0045274,Umberto D.,0,1952,89,Drama,8.2,27469
tt0046250,Roman Holiday,0,1953,118,"Comedy,Romance",8.0,144821
tt0046268,The Wages of Fear,0,1953,131,"Adventure,Drama,Thriller",8.2,64796
tt0046359,Stalag 17,0,1953,120,"Comedy,Drama,War",8.0,57734
tt0046438,Tokyo Story,0,1953,136,Drama,8.1,66248
tt0046911,Diabolique,0,1955,117,"Crime,Drama,Horror",8.1,68366
tt0046912,Dial M for Murder,0,1954,105,"Crime,Thriller",8.2,184626
tt0047296,On the Waterfront,0,1954,108,"Crime,Drama,Thriller",8.1,161352
tt0047396,Rear Window,0,1954,112,"Mystery,Thriller",8.5,511430
tt0047478,Seven Samurai,0,1954,207,"Action,Drama",8.6,359617
tt0047528,La strada,0,1954,108,Drama,8.0,65643
tt0048021,Rififi,0,1955,118,"Crime,Drama,Thriller",8.1,36196
tt0048424,The Night of the Hunter,0,1955,92,"Crime,Drama,Film-Noir",8.0,95075
tt0048473,Pather Panchali,0,1955,125,Drama,8.2,36634
tt0050083,12 Angry Men,0,1957,96,"Crime,Drama",9.0,838376
tt0050212,The Bridge on the River Kwai,0,1957,161,"Adventure,Drama,War",8.1,229465
tt0050613,Throne of Blood,0,1957,110,Drama,8.1,54772
tt0050783,Nights of Cabiria,0,1957,110,Drama,8.1,51172
tt0050825,Paths of Glory,0,1957,88,"Drama,War",8.4,207342
tt0050976,The Seventh Seal,0,1957,96,"Drama,Fantasy",8.1,194130
tt0050986,Wild Strawberries,0,1957,91,"Drama,Romance",8.1,112439
tt0051036,Sweet Smell of Success,0,1957,96,"Drama,Film-Noir",8.0,34734
tt0051201,Witness for the Prosecution,0,1957,116,"Crime,Drama,Mystery",8.4,133370
tt0051808,The Hidden Fortress,0,1958,139,"Action,Adventure,Drama",8.1,41306
tt0052311,Touch of Evil,0,1958,95,"Crime,Drama,Film-Noir",8.0,108239
tt0052357,Vertigo,0,1958,128,"Mystery,Romance,Thriller",8.3,418479
tt0052561,Anatomy of a Murder,0,1959,161,"Drama,Mystery",8.0,69709
tt0052618,Ben-Hur,0,1959,212,"Adventure,Drama",8.1,248938
