tconst,ordering,nconst,category,job,characters
tt0032553,1,nm0000122,actor,\N,"[""Hynkel - Dictator of Tomania"",""A Jewish Barber""]"
tt0032553,2,nm0002104,actress,\N,"[""Hannah""]"
tt0032553,3,nm0642988,actor,\N,"[""Napaloni - Dictator of Bacteria""]"
tt0032553,4,nm0306786,actor,\N,"[""Schultz""]"
tt0032553,5,nm0835365,cinematographer,director of photography,\N
tt0032553,6,nm0005906,cinematographer,director of photography,\N
tt0032553,7,nm0630119,editor,film editor,\N
tt0032553,8,nm0199787,actor,\N,"[""Garbitsch""]"
tt0032553,9,nm0317970,actor,\N,"[""Herring""]"
tt0032976,10,nm0389580,writer,adaptation,\N
tt0032976,1,nm0000059,actor,\N,"[""'Maxim' de Winter""]"
tt0032976,2,nm0000021,actress,\N,"[""Mrs. de Winter""]"
tt0032976,3,nm0001695,actor,\N,"[""Jack Favell""]"
tt0032976,4,nm0000752,actress,\N,"[""Mrs. Danvers""]"
tt0032976,5,nm0000033,director,\N,\N
tt0032976,6,nm0238898,writer,celebrated novel,\N
tt0032976,7,nm0792845,writer,screen play,\N
tt0032976,8,nm0365661,writer,screen play,\N
tt0032976,9,nm0531878,writer,adaptation,\N
tt0033045,10,nm0200125,cinematographer,director of photography,\N
